title,price_paise,description,categories,tags,cover_basename
Dayashataka,100,,,,dayashataka
Deshika Prabandha Volume I,100,,,,deshika-prabandha-volume-i
Deshika Prabandha Volume II,100,,,,deshika-prabandha-volume-ii
Divya Prabandha Mala,100,,,,divya-prabandha-mala
"Divya Prabandha Mala Kusuma I, Alzwararugalu Anugrahisisda Tirumandadigalu",40000,Original verses with word to word meaning and explanation in Kannada.,"Alwars, Books, Kannada, Stotram Tags: Alzwar, Divya Prabandha, Mala Kusuma, Tirumandadi","Gita,Krishna,Vedanta",divya-prabandha-mala-kusuma
Divya Prabhanda Darshana,100,,,,divya-prabhanda-darshana
Eleven Rahasya Granthas of Sri Vedanta Desika,100,,,,eleven-rahasya-granthas
Gadya Trayam,100,,,,gadya-trayam
Geethaamrutha,15000,This book contains the Original text and explanation of Bhagavad Gita in Kannada.,"Bhagavad Gita, Books, Kannada","Upanishad,Vedanta",geetamruta
Hattu Rahasya Gratangalu,100,,,,hattu-rahasya-gratangalu
Sri Hayagriva Stotram,100,,,,hayagriva-stotram
Laghu Nityanusandhanam,100,,,,laghu-nityanusandhanam
Man Matter God,100,,,,man-matter-god
Nitya Grantha,100,,,,nitya-grantha
Pancha Stavagalu,100,,,,pancha-stavagalu
Paramapada Sopaanam of Sri Nigamanta Mahadeshikan,100,,,,paramapada-sopanam
Paramatha Bhangasara,100,,,,paramatha-bhangasara
Philosophy of Sadhana in Visistadvaita,100,,,,philosophy-of-sadhana-in-visistadvaita
Principal Upanishads Volume I,100,,,,principal-upanishads-volume-i
Principal Upanishads Volume II,100,,,,principal-upanishads-volume-ii
Principal Upanishads Volume III,100,,,,principal-upanishads-volume-iii
Purusha Sukta and Sri Sukta,100,,,,purusha-sukta-and-sri-sukta
Shri Ramanuja Darshana Audio Book,15000,"This award winning book, authored by Vedanata Vidwan Dr. N S Anantarangachar, is a magnificent authentic detail of the life and times of Bhagavad Ramanujacharya, the philosophy of Visistadvaita, a brief comparative study of other philosophies."," Alwars, Kannada, Philosophy, Ramanujacharya, Vedanta, Visistadvaita",,ramanuja-darshanam
Selections from the Upanishads,100,,,,selections-from-the-upanishads
Shri Bhashya I,100,,,,shri-bhashya-i
Shri Bhashya II,100,,,,shri-bhashya-ii
Shri Bhashya III,100,,,,shri-bhashya-iii
Shribhashya Upanyasa Manjari,100,,,,shribhashya-upanyasa-manjari
Srimad Bhagavad Gita Bhashyam,100,,,,srimad-bhagavad-gita-bhashyam
Sri Paduka Sahasram,100,,,,sri-paduka-sahasram
"Sri Stava, Sri Stuti, Goda Stuti, and Bhoo Stuti",100,,,,sri-stava-sri-stuti-goda-stuti-bhoo-stuti
Vedanta Deepa I,100,,,,vedanta-deepa-i
Vedanta Deepa II,100,,,,vedanta-deepa-ii
Vedanta Sutras of Maharshi Vedavyasa,100,,,,vedanta-sutras-english
Visistadvaitic Epistemology and Doctrine of Matter,100,,,,visistadvaitic-epistemology-and-doctrine-of-matter
